Rank,Country,Population_2026,Yearly_Change,Net_Change,Density_per_km2,Land_Area_km2,Migrants_Net,Fertility_Rate,Median_Age,Urban_Population_pct,World_Share_pct
119,State of Palestine,5692790,1.85,103167.0,946,6020,-20055.0,3.13,20.3,85.0,0.069
120,Oman,5671458,3.22,176767.0,18,309500,79740.0,2.44,29.8,89.6,0.068
121,Norway,5652989,0.53,29918.0,15,365268,12047.0,1.42,40.1,86.5,0.068
122,Finland,5621739,-0.03,-1590.0,18,303890,12666.0,1.3,43.4,87.1,0.068
123,Mauritania,5461319,2.75,146254.0,5,1030700,-5842.0,4.49,17.5,60.9,0.066
124,Slovakia,5451342,-0.43,-23539.0,113,48088,134.0,1.57,42.8,54.3,0.066
125,Ireland,5356950,0.92,48911.0,78,68890,32022.0,1.6,39.2,62.2,0.065
126,New Zealand,5287479,0.68,35580.0,20,263310,16435.0,1.64,38.0,83.7,0.064
127,Costa Rica,5174789,0.42,21839.0,101,51060,966.0,1.31,35.7,85.9,0.062
128,Kuwait,5102773,1.53,76695.0,286,17820,30696.0,1.49,34.8,91.3,0.061
129,Panama,4625718,1.19,54529.0,62,74340,5665.0,2.07,30.6,71.1,0.056
130,Croatia,3822345,-0.67,-25815.0,68,55960,-2491.0,1.47,45.5,62.2,0.046
131,Georgia,3804642,-0.05,-2029.0,55,69490,1215.0,1.78,37.6,62.2,0.046
132,Eritrea,3682669,2.1,75666.0,36,101000,-7520.0,3.55,19.5,75.9,0.044
133,Mongolia,3556798,1.13,39698.0,2,1553560,12.0,2.54,27.0,67.3,0.043
134,Uruguay,3382537,-0.06,-2151.0,19,175020,-1413.0,1.38,36.7,0.0,0.041
135,Puerto Rico,3222688,-0.39,-12601.0,363,8870,1056.0,0.94,46.2,0.0,0.039
136,Qatar,3173559,1.85,57670.0,273,11610,24791.0,1.69,33.4,96.2,0.038
137,Namibia,3153246,1.95,60430.0,4,823290,47.0,3.13,21.5,55.2,0.038
138,Bosnia and Herzegovina,3114242,-0.82,-25853.0,61,51000,-7581.0,1.5,46.1,57.1,0.038
139,Moldova,2961253,-1.16,-34853.0,90,32850,-16732.0,1.72,39.1,58.5,0.036
140,Armenia,2930915,-0.73,-21450.0,103,28470,-27000.0,1.71,37.2,64.4,0.035
141,Gambia,2884079,2.2,61986.0,285,10120,-2894.0,3.7,18.8,62.2,0.035
142,Jamaica,2833403,-0.13,-3674.0,262,10830,-11683.0,1.33,33.3,60.7,0.034
143,Lithuania,2797338,-1.16,-32806.0,45,62674,-4846.0,1.22,42.6,68.9,0.034
144,Albania,2751025,-0.74,-20483.0,100,27400,-22595.0,1.32,37.8,71.6,0.033
145,Gabon,2647399,2.09,54269.0,10,257670,1152.0,3.49,21.6,83.8,0.032
146,Botswana,2603388,1.61,41266.0,5,566730,-4169.0,2.63,23.7,76.1,0.031
147,Lesotho,2389336,1.1,26011.0,79,30360,-4876.0,2.61,22.1,33.3,0.029
